code,width,length,height,weight,cube
8010-0103-01,0.00,0.00,0.00,0.00,0.00
8010-0203-01,0.00,0.00,0.00,0.00,0.00
8010-0303-01,0.00,0.00,0.00,0.00,0.00
8201-0101-00,0.00,0.00,0.00,0.00,0.00
8201-0102-00,0.00,0.00,0.00,0.00,0.00
8201-0201-00,0.00,0.00,0.00,0.00,0.00
8203-0103-00,0.00,0.00,0.00,0.00,0.00
8203-0303-00,0.00,0.00,0.00,0.00,0.00
9002-0501-00,0.00,0.00,0.00,0.00,0.00
9003-1959-00,0.00,0.00,0.00,0.00,0.00
9004-0401-00,0.00,0.00,0.00,0.00,0.00
9005-0133-00,0.00,0.00,0.00,0.00,0.00
9005-0243-00,0.00,0.00,0.00,0.00,0.00
9006-0201-00,0.00,0.00,0.00,0.00,0.00
9006-0211-00,0.00,0.00,0.00,0.00,0.00
9006-0666-00,0.00,0.00,0.00,0.00,0.00
9007-1138-00,0.00,0.00,0.00,0.00,0.00
9151-0105-00,0.00,0.00,0.00,0.00,0.00
9200-0283-00,0.00,0.00,0.00,0.00,0.00
9231-0001-88,0.00,0.00,0.00,0.00,0.00
9300-0028-00,0.00,0.00,0.00,0.00,0.00
9300-0038-00,0.00,0.00,0.00,0.00,0.00
9300-0101-00,0.00,0.00,0.00,0.00,0.00
9700-0001-00,0.00,0.00,0.00,0.00,0.00
9700-0005-00,0.00,0.00,0.00,0.00,0.00
9814-1041-00,0.00,0.00,0.00,0.00,0.00
9218-0377-14,0.00,0.00,0.00,0.00,0.00
9022-0209-00,0.00,0.00,0.00,0.00,0.00
9234-0223-00,0.00,0.00,0.00,0.00,0.00
9235-0432-00,0.00,0.00,0.00,0.00,0.00
9235-0434-00,0.00,0.00,0.00,0.00,0.00
9234-0209-00,0.00,0.00,0.00,0.00,0.00
4006-0156-00,0.00,0.00,0.00,0.00,0.00
4006-1213-01,0.00,0.00,0.00,0.00,0.00
4006-0153-00,0.00,0.00,0.00,0.00,0.00
4006-0403-00,0.00,0.00,0.00,0.00,0.00
4006-0115-00,0.00,0.00,0.00,0.00,0.00
9021-0501-01,0.00,0.00,0.00,0.00,0.00
9022-0113-00,0.00,0.00,0.00,0.00,0.00
9022-0115-00,0.00,0.00,0.00,0.00,0.00
9023-0104-01,0.00,0.00,0.00,0.00,0.00
9023-0113-00,0.00,0.00,0.00,0.00,0.00
9023-0115-01,0.00,0.00,0.00,0.00,0.00
9024-0108-00,0.00,0.00,0.00,0.00,0.00
9023-0105-00,0.00,0.00,0.00,0.00,0.00
9023-0102-00,0.00,0.00,0.00,0.00,0.00
9021-0503-01,0.00,0.00,0.00,0.00,0.00
9023-0113-10,0.00,0.00,0.00,0.00,0.00
9023-0110-00,0.00,0.00,0.00,0.00,0.00
9021-0401-00,0.00,0.00,0.00,0.00,0.00
9021-0401-01,0.00,0.00,0.00,0.00,0.00
9021-0501-00,0.00,0.00,0.00,0.00,0.00
9024-0106-00,0.00,0.00,0.00,0.00,0.00
9023-0101-00,0.00,0.00,0.00,0.00,0.00
9023-0104-00,0.00,0.00,0.00,0.00,0.00
9021-0503-00,0.00,0.00,0.00,0.00,0.00
9023-0125-00,0.00,0.00,0.00,0.00,0.00
8203-1003-00,0.00,0.00,0.00,0.00,0.00
9022-0114-00,0.00,0.00,0.00,0.00,0.00
9022-0118-00,0.00,0.00,0.00,0.00,0.00
9022-0213-00,0.00,0.00,0.00,0.00,0.00
9023-0211-00,0.00,0.00,0.00,0.00,0.00
9023-0205-00,0.00,0.00,0.00,0.00,0.00
9023-0208-00,0.00,0.00,0.00,0.00,0.00
9024-1008-00,0.00,0.00,0.00,0.00,0.00
9021-0402-00,0.00,0.00,0.00,0.00,0.00
9021-0402-01,0.00,0.00,0.00,0.00,0.00
9023-0302-00,0.00,0.00,0.00,0.00,0.00
9023-0204-00,0.00,0.00,0.00,0.00,0.00
9023-0201-00,0.00,0.00,0.00,0.00,0.00
9022-0215-00,0.00,0.00,0.00,0.00,0.00
9021-0504-00,0.00,0.00,0.00,0.00,0.00
8203-1006-00,0.00,0.00,0.00,0.00,0.00
9001-0106-00,0.00,0.00,0.00,0.00,0.00
9001-0107-00,0.00,0.00,0.00,0.00,0.00
9001-1001-00,0.00,0.00,0.00,0.00,0.00
9001-1002-00,0.00,0.00,0.00,0.00,0.00
9001-1213-00,0.00,0.00,0.00,0.00,0.00
9001-1222-00,0.00,0.00,0.00,0.00,0.00
9001-0903-00,0.00,0.00,0.00,0.00,0.00
9001-0904-00,0.00,0.00,0.00,0.00,0.00
9001-1226-00,0.00,0.00,0.00,0.00,0.00
9001-1228-00,0.00,0.00,0.00,0.00,0.00
9002-0113-00,0.00,0.00,0.00,0.00,0.00
9002-0202-02,0.00,0.00,0.00,0.00,0.00
9002-0204-02,0.00,0.00,0.00,0.00,0.00
9002-0304-00,0.00,0.00,0.00,0.00,0.00
9002-0411-00,0.00,0.00,0.00,0.00,0.00
9002-0507-00,0.00,0.00,0.00,0.00,0.00
9002-0511-00,0.00,0.00,0.00,0.00,0.00
9002-0515-00,0.00,0.00,0.00,0.00,0.00
9002-0602-02,0.00,0.00,0.00,0.00,0.00
9002-0609-00,0.00,0.00,0.00,0.00,0.00
9002-0802-00,0.00,0.00,0.00,0.00,0.00
9002-1201-00,0.00,0.00,0.00,0.00,0.00
9002-1507-00,0.00,0.00,0.00,0.00,0.00
9002-1534-00,0.00,0.00,0.00,0.00,0.00
9002-1564-00,0.00,0.00,0.00,0.00,0.00
9003-0104-00,0.00,0.00,0.00,0.00,0.00
9003-0601-00,0.00,0.00,0.00,0.00,0.00
9003-0606-00,0.00,0.00,0.00,0.00,0.00
9003-0802-00,0.00,0.00,0.00,0.00,0.00
9003-1701-00,0.00,0.00,0.00,0.00,0.00
9003-1937-00,0.00,0.00,0.00,0.00,0.00
9003-1941-00,0.00,0.00,0.00,0.00,0.00
9003-1942-00,0.00,0.00,0.00,0.00,0.00
9003-1943-00,0.00,0.00,0.00,0.00,0.00
9003-1952-00,0.00,0.00,0.00,0.00,0.00
9003-1917-00,0.00,0.00,0.00,0.00,0.00
9003-1927-00,0.00,0.00,0.00,0.00,0.00
9003-1934-00,0.00,0.00,0.00,0.00,0.00
9003-1907-00,0.00,0.00,0.00,0.00,0.00
9003-1908-00,0.00,0.00,0.00,0.00,0.00
9003-1956-00,0.00,0.00,0.00,0.00,0.00
9003-1960-00,0.00,0.00,0.00,0.00,0.00
9003-1962-00,0.00,0.00,0.00,0.00,0.00
9003-1965-00,0.00,0.00,0.00,0.00,0.00
9003-2004-00,0.00,0.00,0.00,0.00,0.00
9003-2010-00,0.00,0.00,0.00,0.00,0.00
9003-2015-00,0.00,0.00,0.00,0.00,0.00
9003-2016-00,0.00,0.00,0.00,0.00,0.00
9003-2018-00,0.00,0.00,0.00,0.00,0.00
9003-2019-00,0.00,0.00,0.00,0.00,0.00
9003-2024-00,0.00,0.00,0.00,0.00,0.00
9003-2026-00,0.00,0.00,0.00,0.00,0.00
9003-2032-00,0.00,0.00,0.00,0.00,0.00
9003-2034-00,0.00,0.00,0.00,0.00,0.00
9003-2041-00,0.00,0.00,0.00,0.00,0.00
9003-2042-00,0.00,0.00,0.00,0.00,0.00
9003-2043-00,0.00,0.00,0.00,0.00,0.00
9003-2044-00,0.00,0.00,0.00,0.00,0.00
9003-2045-00,0.00,0.00,0.00,0.00,0.00
9003-2046-00,0.00,0.00,0.00,0.00,0.00
9003-2048-00,0.00,0.00,0.00,0.00,0.00
9003-2053-00,0.00,0.00,0.00,0.00,0.00
9003-2054-00,0.00,0.00,0.00,0.00,0.00
9003-2055-00,0.00,0.00,0.00,0.00,0.00
9003-2059-00,0.00,0.00,0.00,0.00,0.00
9003-2066-00,0.00,0.00,0.00,0.00,0.00
9003-1973-00,0.00,0.00,0.00,0.00,0.00
9003-1977-00,0.00,0.00,0.00,0.00,0.00
9003-1979-00,0.00,0.00,0.00,0.00,0.00
9003-1998-00,0.00,0.00,0.00,0.00,0.00
9004-0603-00,0.00,0.00,0.00,0.00,0.00
9004-0604-00,0.00,0.00,0.00,0.00,0.00
9004-0617-00,0.00,0.00,0.00,0.00,0.00
9004-0619-00,0.00,0.00,0.00,0.00,0.00
9004-0631-00,0.00,0.00,0.00,0.00,0.00
9004-0643-00,0.00,0.00,0.00,0.00,0.00
9004-0644-00,0.00,0.00,0.00,0.00,0.00
